iauName,WISE Name,GLong,GLat,Radius,VLSR(km/s),Dist.<br>(kpc),Err Dist.<br>(kpc),Dist. Method,Dist. Author,WISE 12um<br>(Jy),flux,fluxErr,flux_noPS,flux_err_noPS,distance_kpc,distance_err_kpc,radius_wcs,physical_radius_pc,ne,N_Ly,Spectral Type
G035.349+00.006,G035.349+00.004,35.35,0.005,166.4,54.9,,,HIEA/Kin,Anderson et al. (2017),9.21296,0.2716212710502618,0.0091526154453217,0.2664854722972038,0.0091614321349408,9.61,0.42,2.535,7.086422805614138,4.32,48.38,O7.5
G035.425-00.261,G035.429-00.260,35.43,-0.26,72.7,55.0,,,,,0.792919,0.108991345919628,0.0017981713102366,0.108991345919628,0.0017981713102366,9.43,0.37,1.986,5.447743436840956,3.98,47.97,O9
G035.472-00.001,G035.467+00.004,35.467,0.004,116.0,58.6,9.952,0.29226,HIEA/Kin,Anderson et al. (2012),6.92933,0.2815792380882106,0.006231133432743,0.2815792380882106,0.006231133432743,9.54,0.4,1.577,4.376286815504327,8.99,48.39,O7.5
G035.543+00.009,G035.543+00.006,35.544,0.007,68.8,57.5,9.95228,0.33599,HIEA/Kin,Anderson et al. (2012),7.58335,0.4180370603632154,0.0021633078785485,0.4180370603632154,0.0021633078785485,9.54,0.41,1.283,3.560415969747654,14.93,48.56,O7
G035.573+00.070,G035.571+00.071,35.571,0.072,60.0,47.6,10.5753,0.233838,HIEA+HISA/Kin,Anderson & Bania (2009a),11.2089,0.453762378646781,0.0007346877604835,0.453762378646781,0.0007346877604835,9.67,0.55,0.49,1.3783143044142243,65.43,48.61,O7
G035.643-00.064,G035.649-00.053,35.65,-0.052,332.4,51.9,10.3811,0.188764,HIEA+HISA/Kin,Anderson & Bania (2009a),130.49,7.004923570441939,0.0101620050602111,6.994322303609375,0.0102028780703182,9.52,0.44,7.845,21.72479092429641,4.05,49.78,O4
G036.199-00.183,G036.192-00.171,36.193,-0.171,229.2,82.6,6.59178,0.0192593,TP/Kin,,13.6292,0.233198373397905,0.0013579999243305,0.2294133621854717,0.0013602382457505,4.51,0.55,4.146,5.439156424987273,2.79,47.66,O9.5
G036.266+00.496,G036.267+00.481,36.268,0.481,287.5,73.3,,,HIEA/Kin,Anderson et al. (2017),16.2984,0.4217691746736759,0.0039236120036143,0.4207299292061433,0.0039237124819219,4.52,0.6,5.535,7.277492545996655,2.43,47.92,O9
G036.271+00.698,G036.267+00.697,36.268,0.698,359.5,76.5,4.45941,0.408889,Visible/Kin,,98.4566,2.0757862478543,0.0046278573356625,2.0688808508875,0.0047076862340091,4.41,0.56,6.64,8.517896880226893,4.16,48.59,O7
G036.376+00.044,G036.344+00.040,36.344,0.04,152.9,76.9,,,,,7.13263,0.2226660632596549,0.0010772371489738,0.2203711594364864,0.0010783458202395,4.55,0.57,4.727,6.256374081884954,2.23,47.65,O9.5
G036.465-00.175,G036.459-00.183,36.459,-0.183,301.6,72.7,8.99461,0.359433,HIEA+HISA/Kin,Anderson & Bania (2009a),37.2846,1.228717356561454,0.00648985072812,1.204218486198198,0.0065611904989425,4.32,0.55,4.787,6.015515962475456,5.28,48.34,O8
G036.866+00.461,G036.870+00.462,36.87,0.462,42.5,-27.3,15.3903,0.277973,OG/Kin,,0.739318,0.0300821770305939,0.0009770346682881,0.0300821770305939,0.0009770346682881,14.21,0.46,0.818,3.3812173660097447,6.45,47.77,O9.5
G036.980-00.211,G037.028-00.202,37.029,-0.202,420.5,81.3,6.52183,0.0201451,TP/Kin,,-21.0301,1.8893613921855583,0.011354668820012,1.8701224485488428,0.0113555948030246,4.54,0.56,9.276,12.25017525998109,2.37,48.57,O7
G036.995-00.232,G036.993-00.231,36.993,-0.23,49.0,79.7,6.52445,0.0203884,TP/Kin,,6.70305,0.0204914472781843,0.000402811191073,0.0204914472781843,0.000402811191073,4.5,0.56,0.558,0.7304196058468476,16.79,46.6,B0
G037.045-00.259,G037.028-00.202,37.029,-0.202,420.5,81.3,6.52183,0.0201451,TP/Kin,,-21.0301,0.9535151344219528,0.0381974211728019,0.9522066798075574,0.0381974748416244,4.54,0.56,6.44,8.504865100719949,2.91,48.28,O8
G037.177-00.443,G037.175-00.440,37.176,-0.439,163.1,36.1,10.9165,0.286336,HIEA+HISA/Kin,Anderson & Bania (2009a),22.5857,0.4850816851293192,0.0090714943117705,0.4850816851293192,0.0090714943117705,2.02,0.2,2.856,1.678167406006836,10.52,47.28,B0
G037.197-00.430,G037.200-00.430,37.2,-0.43,60.0,38.0,10.7868,0.272923,H2CO/Kin,Watson et al. (2003),4.47435,0.0799640776668696,0.0006957215228581,0.0799640776668696,0.0006957215228581,2.38,0.16,0.575,0.398080139626209,43.48,46.64,B0
